Nome BOT,ISIN,DATA EMISSIONE,PREZZO EMISSIONE,SCADENZA
Bot Zc AG23 A Eur,IT0005505075,12/08/2022,98.997,14/08/2023
Bot Zc St23 A Eur,IT0005508236,14/09/2022,97.924,14/09/2023
Bot Zc Ot23 A Eur,IT0005512030,14/10/2022,97.504,13/10/2023
Bot Zc Nv23 A Eur,IT0005518516,14/11/2022,97.345,14/11/2023
Bot Zc Dc23 A Eur,IT0005523854,14/12/2022,97.365,14/12/2023
Bot Zc Ge24 A Eur,IT0005529752,13/01/2023,96.974,12/01/2024
Bot Zc Fb24 A Eur,IT0005532988,14/02/2023,96.877,14/02/2024
Bot Zc Mz24 A Eur,IT0005537094,14/03/2023,96.457,14/03/2024
Bot Zc St23 S Eur,IT0005541278,30/03/2023,98.469,29/09/2023
Bot Zc Ap24 A Eur,IT0005542516,14/04/2023,96.686,12/04/2024
Bot Zc Mg24 A Eur,IT0005545469,12/05/2023,96.584,14/05/2024
Bot Zc Nv23 S Eur,IT0005547887,31/05/2023,98.238,30/11/2023
Bot Zc Gn24 A Eur,IT0005549388,14/06/2023,96.434,14/06/2024
Bot Zc Lg24 A Eur,IT0005555963,14/07/2023,96.162,12/07/2024
Bot Zc Ge24 S Eur,IT0005557365,31/07/2023,98.087,31/01/2024
Bot Zc Ag24 A Eur,IT0005559817,14/08/2023,96.262,14/08/2024
Bot Zc St24 A Eur,IT0005561458,14/09/2023,96.222,13/09/2024
Bot Zc Mz24 S Eur,IT0005566184,29/09/2023,98.030,28/03/2024
Bot Zc Ot24 A Eur,IT0005567778,13/10/2023,96.137,14/10/2024
Bot Zc Nv24 A Eur,IT0005570855,14/11/2023,96.224,14/11/2024
Bot Zc May24 S Eur,IT0005571960,30/11/2023,98.076,31/05/2024
